column,best_scaler,best_normaltest_statistic,best_normaltest_pvalue,reason
temperature_c,quantile_normal,43.12617910937395,4.31786633043763e-10,normaltest
systolic_bp,yeo_johnson,599.2278389842614,7.574048175410705e-131,normaltest
sepsis_risk_score,quantile_normal,983.9544855328645,2.17269239672455e-214,normaltest
age,identity,319644.5069098969,0.0,normaltest
comorbidity_index,identity,599627.268702247,0.0,normaltest
creatinine,identity,248027.10007383677,0.0,normaltest
crp_level,identity,298830.26009094657,0.0,normaltest
diastolic_bp,identity,30704.118568589518,0.0,normaltest
heart_rate,identity,150880.26367400255,0.0,normaltest
hemoglobin,identity,81861.55143755313,0.0,normaltest
hour_from_admission,identity,32151.356125344653,0.0,normaltest
lactate,identity,241139.66374216718,0.0,normaltest
mobility_score,identity,12323.337173161188,0.0,normaltest
nurse_alert,identity,76021.28012412696,0.0,normaltest
oxygen_flow,identity,116759.35614298255,0.0,normaltest
respiratory_rate,identity,100491.65106422373,0.0,normaltest
spo2_pct,identity,209236.48536760325,0.0,normaltest
wbc_count,identity,234406.55983832828,0.0,normaltest
